event_datetime_utc,source_name,source_url,source_type,claim_text,country,location_text,actor_1,actor_2,event_type,domain,severity_score,confidence_score,information_status,tags,last_updated_at
2026-03-26 04:27:04+00:00,Google News,https://news.google.com/rss/articles/CBMiowFBVV95cUxQX282N3ZvRGxjbkJiNjQyakc2SDZDWFJsSEhJeGZtTHdVUDF0cDJ3dFExcUtSUHJldG1wOVhqUUxhVG5UTk9OWmJYaGRSNkQyUzktY29GN0FkT0RtMDloUXBTVXJFVGNjaTN1N2twLW9WSC05UDFlSHF3NE82MVFNTkJLU0xMb2laRHlZWmVucGJKdl9hVThrRmU5c0hNTDBrN21V?oc=5,news,What we know on Day 27 of the US and Israel’s war with Iran: Trump frustrated with Tehran and IRGC navy chief dead - CNN,Iran,Tehran,Iran,Israel,other,humanitarian,8,0.5,unverified,"['iran', 'war', 'tehran', 'israel']",2026-03-27 09:12:32 UTC
2026-03-26 06:27:17+00:00,Google News,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQNUxSeXJnMlVSNGlBbUhTazQ0anpTQjJldWdhUnEtRnc5VVBfOTFDVWV5eFY3bkpUc3JKRFRuX0xxekFJYXNiX1pJelZWVGR5OGI3amlzbFFqNnhDMDZPb0MyWWVvbkp1Qkh4Z2lDSXdrVUZvd0RBOWVHX3d3OGZCbWEtMDhYQW5ULUxid0NmTi1laWJKLTZMVjQycDVsZzRaLTRNYlg3MTRDRWJRbE5hWVN1M1lva3FVVy04?oc=5,news,"Opinion | Talking 'Peace', Moving Troops: What Does Trump Really Want From Iran? - NDTV",Iran,Iran,Iran,,troop_movement,other,3,0.5,unverified,['iran'],2026-03-27 09:12:32 UTC
2026-03-26 06:41:00+00:00,Google News,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOemNzZzFnNXotNzE0OW5URVB4WEFoYXU3MDMxMll6b0E4dzhrYzNaLUxURmt6XzJoS3RKTmRIMTFOZjh1aGJhN1h3S3RILWEwb2dPVjNJdTZDNy1KbWJFWjE3RjJvSlZnTXBRcm0yVmNMSjJ2X0lSUHJva3pmYVpwS1VhRDlveDNLbVRXaHEtQjlUMS1UYkVaZV9SblNsNTlGUklydlJNdnVOcndxdFJBY1NlMzdOUGhoZ09NMEp4OXdPSUhWT1hfNGR0SDZUNVFYS1JFUHI5UFM0RVZWQ3c?oc=5,news,"Thursday briefing: Why ​most Israelis ​back the ​conflict​ with Iran, even as international support wanes - The Guardian",Iran,Iran,Iran,Israel,other,other,3,0.5,unverified,"['iran', 'conflict', 'israel']",2026-03-27 09:12:32 UTC
2026-03-26 07:50:09+00:00,Google News,https://news.google.com/rss/articles/CBMisgFBVV95cUxNVkhNOWhoX09QdV9XblI4NEJGTUZQZkNrdWI3NE52Y2Z0QUh6bjJxMVU1UElsWTFhVEdrMnE1Tnd1OEQzQjNEcUJYWm44X3BuOEdpYm80dHhhNXg0Tnk5NktQRzF0UUJFQ3RsZHAxbkFBZ3pHaWp0NUNwUVZKektsU1hHUmV2LW5TQXkzdXB5bTRNU1dvUDI2dUlBSkxqUE40OWtuN1dqNTRIRG1iM1FBbi1B0gG3AUFVX3lxTE9kbHk5QzBCVWhqWkxKaV9yNU5hRC1nZ29yVWJHd2E4ZklWWXlBMENYc3pibWpKM0RpbTBVSElEa1Q3R0NLdXRTZkdMVy0yZXhtb3gtU3pnN2JxcW90Nk83c2hFTnZxQXJPU0Q4RjZocEtNUDZWZzFUN2ZWZjBtTFZZamwtcXpsaVN1bE92WEFRN3o2SGNLYjl5MDQ2RWh5NWlXeE5TYndjalFpNDRkVmNOT0pycU0tdw?oc=5,news,"Two teenagers killed in Shiraz, two dead in Abu Dhabi as Iran war expands - Al Jazeera",Iran,Shiraz,Iran,,other,humanitarian,8,0.5,unverified,"['iran', 'war']",2026-03-27 09:12:32 UTC
2026-03-26 08:04:49+00:00,Google News,https://news.google.com/rss/articles/CBMi9wFBVV95cUxNQWNQZG5WbUo0bE94dGduUWwybXduR3BxTGNMWTl3T2JlNGs1RFdOS3RWdV8wTVhybnY3a1poM0s3aVdJVzZrRUwtN0IzSHhtaEJrT3NoYlFHQzZVekR6SmRqdW85bDhDWHpRWmdWajFkallLVk93b1BwU2J5QlVBQkIyYldyYXVIaDRlUS1vQlBRYkdpR05TbWF4NnJ0VWdqQ1ZBV2VFWEdHS0tTR3NLUUF6eThKQjBkaEhhQUlhUG8ySk8zVG9tZkc2QV9Mc25EMkd3TC12VHNOYk16V0o2X293Y3VGRm5fSGdjaVdHQ3VfQWhkcXJF?oc=5,news,Trump's Iran Ceasefire Gamble Ignites Netanyahu's Strike Fury - NDTV,Iran,Iran,Iran,,airstrike,military,8,0.5,unverified,"['iran', 'strike', 'ceasefire']",2026-03-27 09:12:32 UTC
2026-03-26 08:38:13+00:00,Google News,https://news.google.com/rss/articles/CBMimAFBVV95cUxQd2NKRGhWc2w1UE01UW1RS2x6RFN3UGg2MTFQZ3ZZMXVjaWozZzlsbEVWN0ZzUjdEOE5PaHd0dEJOQXoycFFKLTV6Q3hKOXRrVVdMY1FzSnRFblVwZ1k2M21KV0hEWk9Pa3lKbHQyUVFoZDVsN0tCTkhuLWdYR2psR3cwTGg1RnVFeGhROGU1Qlo3bGFXMWVPMdIBngFBVV95cUxQcWIycTFoME93UEJOYUNHZ0ZwbU5oLWZsWlpaYnFHVW1hT2YxaGcwd3hiN25IS0hKdnhtRElKUmY3RmZkR1FiRVR3NGp0ekcyVWZHT2JlWDFqVFl6WUItNzFJel81aVA4NEZhWU1fcjRfV0YzdG92d3dvXy1Tdy1Fb0xpblB6NmVwS1FONGVYNGVrSmNJejVpdUkzSjg5dw?oc=5,news,German minister calls Iran war an ‘economic catastrophe’ - Al Jazeera,Iran,Iran,Iran,,other,other,3,0.5,unverified,"['iran', 'war']",2026-03-27 09:12:32 UTC
2026-03-26 08:49:13+00:00,Google News,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPaFItNkJfdUp1M2FMeExrb05aUklCZzF1RTQtWUVUS0xqWWhpZ05NSXJsZFRkY2c5dFV5ODg5em4zVldVOTJHU0NsMkhyVWlOVnoyV0NYTENFUlo5VERZN2pxbUxzT1ZVZzh4THFhd0xqcnZHYktaaGV4TGdlT1ZxOGQ1X0lvMHVHaVIyXzBnbDd5Y3lXYXNJNHIwMGFsV2ZDV1hXdWpPRWp6b3k4NzRITldkb1NkeU1MNDkwZ0diMTBsNkFwM2RGSm9tc3ZFaHUzUzJ0etIB2wFBVV95cUxOb1F6NTZIQlpHOFRVd2RVcUswR2VpZllWMEF5TFIzQ0dRMWZEdWxwd3ZQanpOdTN4bmVLQ2FuX3FwZ0VqcURlTGx5QlJhZTZ1Vm0yVzZaS0E4UThrQUpjak5jM2VZZVdpVEFkbTRoSVh4Rzcydlc1dk9ETVN5N1NTZmR6ZlI1MlMtLUc3RFlTMDBNWkwyc1dvYlVPZlF5TVpRSDIyRVhCQ2s3MnlUYVlZcnpJUU9ydk9rVzJmTUM2d2FiXzFWZVhPd0xtVzF5aE43dXdJci0xWW94Qkk?oc=5,news,"Israel took Iran's Araghchi, Qalibaf off hit list on Pakistan request: report - The Hindu",Iran,Iran,Iran,Israel,other,other,3,0.4,unverified,"['iran', 'israel']",2026-03-27 09:12:32 UTC
2026-03-26 08:56:36+00:00,Google News,https://news.google.com/rss/articles/CBMirwFBVV95cUxNNklCS0tRenBIa0xPMzlXd1VzMU5kRUcxTjFUWmc2T2NwVTlGa3I3b3d4Q2pkNlZ5eDhLdnVmM3Y5b29EajY4Y1ptd0QtbjlrbWV0UWVyakxrSzR2VkJJeG96b250aHVIT1RGb1k0T3BJWVJKR0VBWHZINGRaSVZVUkU4QmpKcUsxNDBNcFlLd1poUXlqcFZ4aDFvRkFhdG0wOW9ObWxFOFhhNlFHYktR0gG0AUFVX3lxTE4wX2RTUUxEVFltRnFCUHd3OFFLWk92SmhSdEk1VndqNmZXb09BWm9lX19LcWpvMTlPUHhkcDVoT1pIbHd5SjVpNXpUdVdESVRlWXNHMGVkaF83ODU5WlJWczA1ejZwTkVjYjJDdkUtNHdwdzJfdWtIZlFZelRyT3ZsYzNab0htOU1RVGpjbUNkRHlCVzJ1THRRZ05ja2tqOU1jVWRWYnktQ2xJS2pUenQyTnhqZg?oc=5,news,Helium hitch: Why US-Israel war on Iran could cause MRI scan delays - Al Jazeera,Iran,Iran,Iran,Israel,other,other,3,0.5,unverified,"['iran', 'war', 'israel']",2026-03-27 09:12:32 UTC
2026-03-26 09:34:28+00:00,Google News,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQSXJYQzVrZnZwV2NWVjRnYXFFenBKRWxsa0dHMUVCYWx1RTB0NHdUOWhGLXJuMXRJUG5yOG1naGxwLVpIZWE0Y295YV9QeEVIZzVCc05ldFM4dGNuZW53VW9BOEpwVF90TXpGVE93Sm1wbnptMzBNMjRkTHY3ckpSYUZlZ29jb1lRbUxoek12aWNmWDExeHpjM05QMzFucWh0MW5nZTBhTUPSAa4BQVVfeXFMTW1uOWQ0M0RzVjljQkVYVm5wbE9SSmc5U1BONVRmZ05icnZ4Z3FmTkFBdzlXM3VJdHIyV1UxNjdXRmMwelJISXdrM0Y4TzVJa3VYRXVTRDEzcnJyTjdSTGpGNnpUTWNlT2VhdmREekQ4UDh0YmIxYl9vNnN2ZFlkZjVBVTNRQ2p3YlB6TzZHTlB0Sm9JeUpBVEhFbTF3SUlmYjBrUVVyS2dvMnRmY2F3?oc=5,news,Gulf states say they're ready for 'self defense' as stance shifts on Iran war - CNBC,Iran,Iran,Iran,,other,other,3,0.5,unverified,"['iran', 'war']",2026-03-27 09:12:32 UTC
2026-03-26 09:44:35+00:00,Google News,https://news.google.com/rss/articles/CBMiekFVX3lxTE9BaC1fRVpXNVlZR0preVQxNHVyOTdqWmxhaTBnQ1duTzBDUnpZeVJHRjJ0X0tSUnhXeEtBRFVrUzdEWXJwVGRwUXpiRU05Y0JEcVB6NDRfbUVweWZ4bm5aenhWSUtSQnFYODdmUGFBNnlxQXA5SE9HbDFB?oc=5,news,Trump grants Iran another extension on a deadline to reopen the Strait of Hormuz - NPR,Iran,Iran,Iran,,other,humanitarian,8,0.5,unverified,['iran'],2026-03-27 09:12:32 UTC
