event_datetime_utc,source_name,source_url,source_type,claim_text,country,location_text,actor_1,actor_2,event_type,domain,severity_score,confidence_score,information_status,tags,last_updated_at
2026-03-24 12:08:47+00:00,Google News,https://news.google.com/rss/articles/CBMioAFBVV95cUxQVmlsaTVRVVN5SkFCNHpRWl9DYkxYUUNrM2Q2WVp1Ul9tQk1hY295R2Znb3dmcDBORUUySjBMRy1GS1F5b0VVbUppZW5DODFsOWM2ekZOWVh0TGpENDFrNGZxQTkzbmtscjE1MGF0TDZ5bDdnTF9hTmN4ZEpuUkNPbW14dGpreEl4ajBPZHNEY0tOLVpWdnREXzJmLTlGZDE50gGmAUFVX3lxTFBtVVBodm13WDQtWl9teGgwQlBSQVNBQUdjYWtDOGl4QmM5ZDVWTzBLUU5IQ2ZuVVN0LWVzZmJUWUN4Vy1QRXlkRTFHN3MydVN4NE9JTlRBa3RTWDVPWnpIM3VldjZkdC1vSVR6YjVPMzdxTFdqajcxMXFNNXd1b1NycEJLeENPN01mOVpxNHBiUHc1c0k0SzFNSW9qdXBxVjZURjNOVkE?oc=5,news,US-Israel war on Iran: What’s happening on day 25 of attacks? - Al Jazeera,Iran,Iran,Iran,Israel,other,military,8,0.5,unverified,"['israel', 'iran', 'attack', 'war']",2026-03-26 19:04:12 UTC
2026-03-24 13:05:34+00:00,Google News,https://news.google.com/rss/articles/CBMinAFBVV95cUxOZm9ka1NuVWp2MmdTUkw3Y1p3OXMxVjRHdlBKT0YwTTZRYUdYY2lkSzc1VEJWQTZNUmEwdFYzejM0eEFFU3dvNGg2VVAxZFZ4RzRlYjM0WlpQVkhzakV2eTNUcFZtWXZhU3Q1ak9DVWo2dTBxeC1KVHVpdFhjbWxVRnJfY2Q3VFQwVEhqM0ZWeG52TW16R1JFd1k2Ujk?oc=5,news,Signals Before Strikes: Electronic Warfare in the Iran War - orfonline.org,Iran,Iran,Iran,,airstrike,military,8,0.5,unverified,"['iran', 'strike', 'war']",2026-03-26 19:04:12 UTC
2026-03-24 14:28:47+00:00,Google News,https://news.google.com/rss/articles/CBMirgFBVV95cUxQWGx2REwtcnpQWjlsWnF0ZkdNRkp6Mnlxa0pEbHJ2MFFraDhhUVVDMll2T1B4clZQYmttU0hNN2ROYTdkcTE3MG8wdEdudTc3dHIzNEcta0NqR1ExMGlUNUsxZ3Y3SzRlOGdDUnIxenFqcW1FT21oMEhiVjJ0aGFUVVVIQnkyUDRtX0t5YTNBSVQ3Y01MODVTSUNGVzM2eUdqREQxX3E4cjdMVXNqcUHSAbMBQVVfeXFMTThrV21mZ01hMjdraDFFZ2RwTTEwQkh0YWhGaEpLQ2tnWXl3NnZmRFdCQzU3cThyaDRBdFBiamx6LVlWTFpXTWhrWUFzbGYyLWZiZUhraVpzaGhwQTdmbXlhOURaWFdLa25PWDZMazBaNWs3RkNvOEV6VlF3NzZUeVNibmp4YXl5V01KQjByUVYtUUFVVkc4dHZuSTd2VVcwdXpub3kyNlZacjlxQ1VsSDU5THM?oc=5,news,Keir Starmer’s policy on the Iran war is a recipe for catastrophe - Al Jazeera,Iran,Iran,Iran,,other,other,3,0.5,unverified,"['iran', 'war']",2026-03-26 19:04:12 UTC
2026-03-25 00:00:00+00:00,ISW,https://understandingwar.org/research/middle-east/iran-update-special-report-march-25-2026/,osint,"Iran Update Special Report, March 25, 2026",Iran,Iran,Iran,,other,other,3,0.8,verified,['iran'],2026-03-26 19:04:12 UTC
2026-03-25 00:00:00+00:00,ISW,https://understandingwar.org/research/middle-east/hezbollah-claimed-attacks-targeting-idf-forces-and-positions-in-israel-between-march-1-and-march-25-2026/,osint,"Hezbollah-Claimed Attacks Targeting IDF Forces and Positions in Israel Between March 1 and March 25, 2026",Israel,Israel,Israel,Hezbollah,other,military,8,0.9,verified,"['israel', 'hezbollah', 'attack', 'idf']",2026-03-26 19:04:12 UTC
2026-03-25 02:00:00+00:00,Google News,https://news.google.com/rss/articles/CBMiowFBVV95cUxNZzlGVUVQS0t1VFpvajVkOTFMWFBkSEVJR2NfeDhUQURXdjJ2N0tWbjF3XzhObGFQZUtOV2psdDR1dWQxalBva1NVa2FVM0cyUkx5M1M4dDdiVlRMVFFTeFI3cHlzd2g5WjFlclRqLWJsSGZHcm1idzV4Tm0xTEx4bjJpeUM4N0p6ZUMwQm04RzMwR20waFd6NGdEaDVqWXNQeDU40gGqAUFVX3lxTE5aMEU5d055ZTZjMnZTal91NElfMUlVX2VNRjQtX290R1ZBQ3RMM2pJcmpURnNIMDJBcU5UcjNWc3dwUnJpUklMbm5QcjcwZzBGMnVZODF2YTdzRndfaGctZ0V4cTg1Z3JTMWF0a0p6a3ZNS191a2tVaENZZUl0ZkZhbjUySzdQRFFyMUR4SjFtcGt3VW9pb2w4VmE0TzZSSUJDbmNub0RUZGVn?oc=5,news,Iran Israel US war: Why a prolonged war with Iran will constrain the U.S. - The Hindu,Iran,Iran,Iran,Israel,other,other,3,0.5,unverified,"['israel', 'iran', 'war']",2026-03-26 19:04:12 UTC
2026-03-25 04:28:53+00:00,Google News,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPRkpMOEcyNWVOWUZ3RlJSbXpRVHE4VklHVnFTVVpJT0U1SGV6bldPQUlkZFMwdWpNV0RqS0NRTnA2a19OSDFfR0VOTjFhWkpFaHdseWVRdDdSMFZCN3g4SjlpdF9XaEJGYUVHdEpCS2lyQm11bEFXYjRNaFhNWkVaNWpFMTZpOXVvVGcwem5HUWFHcjloWDhaRWo5QUUyZm9LQkREOV9nc2hLazNFU0hvZWxEVkZBOVN3TEVlRndLUlNYb0xDTTBYQm04dXNscW1mNWJNWVo0Ui00WnpfX3lGM1YtYVJpdGV1aWpj0gHzAUFVX3lxTFB1WlFhZnpNN0dZbU5CM254VEczT25qaWtFS2V6NlJsSU5makJDRnRzVnJQNFREQnZfd21TUktxY2EzRnBDY3dwVjZQcFBCdXB2eWxWRV9UX3BIMnFxTGc5cDVDM2JCQUNZRzhidU1odi1WTWc5dEVzQThUbzVya3pfeGs5SFFnVHltazFSWEc0ZEgxOHhjYm1jNUM2b3FKb01sLUpaQXZMVlZlUW5EdEFwN2o1YVZDLUVSdURGcDBVRHBWVThaQTdkZTlRWi1Ob0FmNmlxMkVSN2dINW9jUXNUYmU5TXlraG1qeXZNM0dyM0htbw?oc=5,news,"How Far Can Iran's Ballistic Missiles Go? Expert Explains Their Range, Limits - NDTV",Iran,Iran,Iran,,missile_attack,military,8,0.5,unverified,"['missile', 'iran']",2026-03-26 19:04:12 UTC
2026-03-25 04:35:46+00:00,Google News,https://news.google.com/rss/articles/CBMi-gFBVV95cUxOQXRrbTIwNXpiMGE4OHByWkxlY05vcTk1VHc3Z3lzZmtVZkhxbF83RlRKbTZfR0s0Mk9Od1F3TGxyRGJ1UElNVTNQLUlOc2ZZNTZKYUVXNkhGS21rR1JSVVhkVGZJMjE1Q2RpUTAzQ1hVajVIYkN0TUJpS1hzbzJ6RWxsZkM3dEt6RmNxUUM3SXVPeEVnTDZUamhYRGF1UDdOYzdFeHJwcmlaY1RoRGNnYlhNYkhBdG5HMVN1c0d4M253SVpaaHRxbEoxa2dmZW5iTXR1cTl3RDVVTHZkYlY0TDQxUGRDTVNWZGFkQmtMZVdGQ2Y5SmQ2Y2pR0gH_AUFVX3lxTE5MOGUxT3Y0dk15T0MxSlRRT1NwamhxQ2tNV3hKOEZ6Yk5NYjdMNWxha1FDS09MbmxoX1JONklZWExnQ1U1akI1dU9BZzhBR0ZhZTFBUUxCa3ZOMG5YRzJaektCY2NLZEh1ekFUOVZYdl94djNRVWE0LVRnYy00Vk1tdWhENVV4NEhQR3dhUWR4ZjkwWW5Pak9hRFFJZi11dVRrbmdaZHFvaE1OOUpDYndJVFlqd2h0MUJ2RlV0R3c0ek1yTVNKc3ZZSmczZi1KMGJJbkpMV2UwcC1lanZKVUhFWC1yZkpDZVItMXNGWTJBMmVUZjZCdnVoQmt2N3A2Zw?oc=5,news,"Iran-Israel war fallout: 87% smallcaps crash, 35% in double-digit losses. Tips to hunt safe haven - The Economic Times",Iran,Iran,Iran,Israel,other,other,3,0.5,unverified,"['israel', 'iran', 'war']",2026-03-26 19:04:12 UTC
2026-03-25 04:43:00+00:00,Google News,https://news.google.com/rss/articles/CBMiowFBVV95cUxQR3VVMjNXU20wYk1jUEVGRjhtX3JuclFuWXQySlhWTU50dWh6YUV4OTRmT0tJVGNLeW1CTjI0d0lfcHdVWUsySTFmZnlQcEpGd0pVWGRNR1QtVEpjaWtoaFJETUx0SUFlUGVUa2pMam9SQURYUTd0TVNTYTRqV1ZpRmZ2WmUydndPMjlOcm12VU5RTTctZm5QYnFndHJESFhoSXRr?oc=5,news,Iran mocks Trump’s talks claim as US set to deploy troops. Here’s what to know - CNN,Iran,Iran,Iran,USA,troop_movement,political,3,0.4,unverified,"['iran', 'talks']",2026-03-26 19:04:12 UTC
2026-03-25 07:00:00+00:00,Google News,https://news.google.com/rss/articles/CBMid0FVX3lxTFBoSVdUeXVkem5oeFB6SzlYa0xrbmpSVXdlWDdrX3dhbG5vWFNvZ1ZLXzR6U0N1WVMyekQ0RzY2UXgwRWdwU0E2ZXRIbXZwaWN2eTZRbkU4M1N2X25xMjY0RjQ4WFdvdEc2VHhkbXpONWJYWEo2TzBB?oc=5,news,"Collection: Iran, Israel and the United States at War (2025-2026 Operations) - Just Security",Iran,Iran,Iran,Israel,other,other,3,0.5,unverified,"['israel', 'iran', 'war']",2026-03-26 19:04:12 UTC
